seed_id,route_pair_id,bank_id,matched_slots,masked_question,risk_flags,allowed_scope,ARS_eligible,human_relevance,human_equipoise,human_non_subsumption,human_notes
SEED_ICLR2026_36d36d3178414cb18bcccf718b590310,R3,b43fea5c920f3c5d37774632b7b6f420a4241268b471168a2fb6fd416d335e0c,14,"Modern machine learning problems are frequently formulated in federated learning domain and incorporate inherently heterogeneous data. [MASKED_ENTITY] methods operate efficiently in terms of iteration complexity and represent a common direction in this setting.

OBSERVED PROBLEM / OPEN QUESTION Finally, we evaluate the practical performance of the proposed method on real-world problems.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_654d4942d416e6689b40c6b21cd02e8a,R3,4f79c37e33df1336cee4f5816fedb577ffdea7380b62f9b1889649d569ea0433,4,"[MASKED_ENTITY]-as-a-Judge has been widely adopted across various research and practical applications, yet the robustness and reliability of its evaluation remain a critical issue. A core challenge it faces is bias, which has primarily been studied in terms of known biases and their impact on evaluation outcomes, while automated and systematic exploration of potential unknown biases is still lacking.

OBSERVED PROBLEM / OPEN QUESTION [MASKED_ENTITY]-as-a-Judge has been widely adopted across various research and practical applications, yet the robustness and reliability of its evaluation remain a critical issue. A core challenge it faces is bias, which has primarily been studied in terms of known biases and their impact on evaluation outcomes, while automated and systematic exploration of potential unknown biases is still lacking.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_5edb57c05c81d04beb716ef1d542fe9e,R3,79cde062f10b0d626080f7e5e96bebce5d79dee89373cdb8566d82f297e11449,6,"[MASKED_ENTITY] models (DMs) have recently become powerful priors for solving inverse problems. However, most work focuses on non-blind settings with known measurement operators, and existing DM-based blind solvers largely assume linear measurements, which limits practical applicability where operators are frequently nonlinear.

OBSERVED PROBLEM / OPEN QUESTION However, most work focuses on non-blind settings with known measurement operators, and existing DM-based blind solvers largely assume linear measurements, which limits practical applicability where operators are frequently nonlinear. Extensive experiments show that [MASKED_ENTITY] effectively handles challenging nonlinear cases, such as rotational and zoom deblurring, where prior DM-based methods fail, while remaining competitive on standard linear benchmarks.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_99238c9d7ad8c6d138dc417fd8e3740c,R3,5fbd8dd107f61767d4da54bffe2948384ecffaeba25caf584d11b7ad81059b8a,4,"Existing adversarial attacks on [MASKED_ENTITY] [MASKED_ENTITY] Models (LVLMs) often struggle with limited transferability to black-box models or produce perceptible artifacts that are easily detected. This paper presents Progressive Semantic Infusion ([MASKED_ENTITY]), a diffusion-based attack that progressively aligns and infuses natural target semantics.

OBSERVED PROBLEM / OPEN QUESTION Our findings highlight a critical vulnerability in modern vision-language systems and offer valuable insights towards building more robust and trustworthy multimodal models.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_0e9e708b6f48e14fd0ac29e167413f76,R3,a29104c2aa08378acdbb789d64f590b668465a96c69b9d440581aa6fc13e08bc,4,"Large language models (LLMs) are increasingly adapted to downstream tasks via reinforcement learning (RL) methods like Group Relative Policy Optimization ([MASKED_ENTITY]), which often require thousands of rollouts to learn new tasks. We argue that the interpretable nature of language often provides a much richer learning medium for LLMs, compared to policy gradients derived from sparse, scalar rewards.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_0a0eba34ab2ff40ca2d2843324dcc4ab,R4,e66236ed1a23d235c49318139aba92d368f7e2a9a6129dd99c5543840a467637,4,"[MASKED_ENTITY]-based large language models (dLLMs) have recently emerged as a powerful alternative to autoregressive [MASKED_ENTITY], offering faster inference and greater interactivity via parallel decoding and bidirectional modeling. However, despite strong performance in code generation and text infilling, we identify a fundamental safety concern: existing alignment mechanisms fail to safeguard dLLMs against context-aware, masked-input adversarial prompts, exposing novel vulnerabilities.

OBSERVED PROBLEM / OPEN QUESTION Bidirectional modeling drives the model to produce contextually consistent outputs for masked spans, even when harmful, while parallel decoding limits model dynamic filtering and rejection sampling of unsafe content.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_4f84e81c0a4eed2024cebcfb8f9d6e7f,R4,649db458d0584c17ae59a41b1e9200c76c5c3e59d8d905df238a2a13091af011,6,"Large Language Models (LLMs) can produce catastrophic responses in conversational settings that pose serious risks to public safety and security. Existing evaluations often fail to fully reveal these vulnerabilities because they rely on fixed attack prompt sequences, lack statistical guarantees, and do not scale to the vast space of multi-turn conversations.

OBSERVED PROBLEM / OPEN QUESTION Existing evaluations often fail to fully reveal these vulnerabilities because they rely on fixed attack prompt sequences, lack statistical guarantees, and do not scale to the vast space of multi-turn conversations.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_7dc7793c89b93887e126a86f22ef63c6,R4,223207f4ede47f3764d7d2efe80ad6a32f34ac52ce2fde7fb667378fc00e7c06,7,"Deep neural networks (DNNs) often produce overconfident predictions on out-of-distribution ([MASKED_ENTITY]) inputs, undermining their reliability in open-world environments. Singularities in semi-discrete optimal transport (OT) mark regions of semantic ambiguity, where classifiers are particularly prone to unwarranted high-confidence predictions.

OBSERVED PROBLEM / OPEN QUESTION Specifically, we formulate an OT problem between a continuous base distribution and the latent embeddings of training data, and identify the resulting singular boundaries.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_227277895277e1ec2422ae0c64f29c81,R4,f4d5c5bf8f4e703e899fa918796443f901cfc0613a73ac09c8b26da8ca0a75b3,21,"Despite their empirical success, neural networks remain vulnerable to small, adversarial perturbations. A longstanding hypothesis suggests that flat minima, regions of low curvature in the loss landscape, offer increased robustness.

OBSERVED PROBLEM / OPEN QUESTION Despite their empirical success, neural networks remain vulnerable to small, adversarial perturbations. Our results challenge simplified views of flatness and provide a nuanced understanding of its role in robustness.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
SEED_ICLR2026_99238c9d7ad8c6d138dc417fd8e3740c,R4,64ece93d9cf77cbef1dd70ad85e585f13a5e20dfdf4d44ba2b440b313e3eb3d1,4,"Existing adversarial attacks on [MASKED_ENTITY] [MASKED_ENTITY] Models (LVLMs) often struggle with limited transferability to black-box models or produce perceptible artifacts that are easily detected. This paper presents Progressive Semantic Infusion ([MASKED_ENTITY]), a diffusion-based attack that progressively aligns and infuses natural target semantics.

OBSERVED PROBLEM / OPEN QUESTION Our findings highlight a critical vulnerability in modern vision-language systems and offer valuable insights towards building more robust and trustworthy multimodal models.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""distinctive_phrase_leak""]",F1_SOURCE_REVIEW_CANDIDATE_ONLY,False,,,,
