stratum,seed_id,source_matching_allowed,question,risk_flags,hard_errors,source_spans,human_review,human_notes
structural,SEED_ICLR2026_c88ccdf819f9afb2ce799f501326150d,False,"OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""too_broad""]","[""MISSING_SOURCE_ABSTRACT"", ""MISSING_SOURCE_PAGE""]",[],,
structural,SEED_ICLR2026_d87e576b1641ca87098028674d8496ff,False,"OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""too_broad""]","[""MISSING_SOURCE_ABSTRACT"", ""MISSING_SOURCE_PAGE""]",[],,
structural,SEED_ICLR2026_d42a8bf2f40555d4a5120300f98c88f6,False,"OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""too_broad""]","[""MISSING_SOURCE_ABSTRACT"", ""MISSING_SOURCE_PAGE""]",[],,
structural,SEED_ICLR2026_c70bc769d6171ef8bb76e36e8d458205,False,"OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""too_broad""]","[""MISSING_SOURCE_ABSTRACT"", ""MISSING_SOURCE_PAGE""]",[],,
structural,SEED_ICLR2026_b2fbf1c9bc92e7ef2f6cab2e8a3e09af,False,"OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.","[""too_broad""]","[""MISSING_SOURCE_ABSTRACT"", ""MISSING_SOURCE_PAGE""]",[],,
unflagged,SEED_ICLR2026_9ab1f4909d575cf41f3dcecfcd4643a8,True,"[MASKED_ENTITY] Bottleneck Models (CBMs) achieve interpretability by interposing a human-understandable concept layer between perception and label prediction. We first identify that the condition of \textit{many-to-many} mapping is necessary for robust CBMs, a prerequisite that has been largely overlooked in previous approaches.

OBSERVED PROBLEM / OPEN QUESTION We first identify that the condition of \textit{many-to-many} mapping is necessary for robust CBMs, a prerequisite that has been largely overlooked in previous approaches.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.",[],[],"[{""start"": 0, ""end"": 150, ""text"": ""Concept Bottleneck Models (CBMs) achieve interpretability by interposing a human-understandable concept layer between perception and label prediction.""}, {""start"": 151, ""end"": 322, ""text"": ""We first identify that the condition of \\textit{many-to-many} mapping is necessary for robust CBMs, a prerequisite that has been largely overlooked in previous approaches.""}]",,
unflagged,SEED_ICLR2026_dea2b4f9012686bcc1f59a62bcd28158,True,"[MASKED_ENTITY] evidential learning harnesses diverse data sources to improve prediction performance and provide reliable uncertainty estimates. Recent advances have primarily focused on optimizing evidence fusion strategies, assuming that the evidence extracted from each view is naturally reliable for downstream integration.

OBSERVED PROBLEM / OPEN QUESTION This motivates us to delve into a new Biased [MASKED_ENTITY] [MASKED_ENTITY] Learning ([MASKED_ENTITY]) problem.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.",[],[],"[{""start"": 0, ""end"": 139, ""text"": ""Multi-view evidential learning harnesses diverse data sources to improve prediction performance and provide reliable uncertainty estimates.""}, {""start"": 140, ""end"": 322, ""text"": ""Recent advances have primarily focused on optimizing evidence fusion strategies, assuming that the evidence extracted from each view is naturally reliable for downstream integration.""}, {""start"": 492, ""end"": 583, ""text"": ""This motivates us to delve into a new Biased Evidential Multi-view Learning (BEML) problem.""}]",,
unflagged,SEED_ICLR2026_dda456ad57133d709520702851cc320e,True,"We study online adversarial imitation learning ([MASKED_ENTITY]), where an agent learns from offline expert demonstrations and interacts with the environment online without access to rewards. Despite strong empirical results, the benefits of online interaction and the impact of stochasticity remain poorly understood.

OBSERVED PROBLEM / OPEN QUESTION Despite strong empirical results, the benefits of online interaction and the impact of stochasticity remain poorly understood.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.",[],[],"[{""start"": 0, ""end"": 179, ""text"": ""We study online adversarial imitation learning (AIL), where an agent learns from offline expert demonstrations and interacts with the environment online without access to rewards.""}, {""start"": 180, ""end"": 306, ""text"": ""Despite strong empirical results, the benefits of online interaction and the impact of stochasticity remain poorly understood.""}]",,
unflagged,SEED_ICLR2026_719bf718cc7e6e1b1431954ab52d5e00,True,"Understanding the dynamics of feature learning in neural networks (NNs) remains a significant challenge. The work of (Mousavi-Hosseini et al., 2023) analyzes a multiple index teacher-student setting and shows that a two-layer student attains a low-rank structure in its first-layer weights when trained with stochastic gradient descent ([MASKED_ENTITY]) and a strong regularizer.

OBSERVED PROBLEM / OPEN QUESTION Understanding the dynamics of feature learning in neural networks (NNs) remains a significant challenge.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.",[],[],"[{""start"": 0, ""end"": 104, ""text"": ""Understanding the dynamics of feature learning in neural networks (NNs) remains a significant challenge.""}, {""start"": 105, ""end"": 367, ""text"": ""The work of (Mousavi-Hosseini et al., 2023) analyzes a multiple index teacher-student setting and shows that a two-layer student attains a low-rank structure in its first-layer weights when trained with stochastic gradient descent (SGD) and a strong regularizer.""}]",,
unflagged,SEED_ICLR2026_71f21ac7a1985e1d7d9a4ecd0a03e993,True,"Leading language model (LM) providers like OpenAI and Anthopic allow customers to fine-tune frontier LMs for specific use cases. To prevent abuse, these providers apply filters to block fine-tuning on overtly harmful data.

OBSERVED PROBLEM / OPEN QUESTION The literature indicates an unresolved technical limitation or uncertainty in this area.

TASK Propose one technically substantive and experimentally testable ICLR-style research project that directly addresses this scientific problem. Choose the research strategy you consider most appropriate.",[],[],"[{""start"": 0, ""end"": 128, ""text"": ""Leading language model (LM) providers like OpenAI and Anthopic allow customers to fine-tune frontier LMs for specific use cases.""}, {""start"": 129, ""end"": 222, ""text"": ""To prevent abuse, these providers apply filters to block fine-tuning on overtly harmful data.""}]",,
